HITId,HITTypeId,Title,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.image,Answer.answer,Answer.note,Turkle.Username
138,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,2,2,Mon Jul 20 23:24:05 UTC 2020,Mon Jul 20 23:24:22 UTC 2020,17,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/high-t0293-f0257.jpg,high,multiple trees,aubreymoore
139,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,3,2,Mon Jul 20 23:24:28 UTC 2020,Mon Jul 20 23:24:55 UTC 2020,26,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/medium-t0284-f0253.jpg,high,,aubreymoore
140,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,4,2,Mon Jul 20 23:24:55 UTC 2020,Mon Jul 20 23:25:08 UTC 2020,13,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/light-t0332-f0283.jpg,light,,aubreymoore
141,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,5,2,Mon Jul 20 23:25:08 UTC 2020,Mon Jul 20 23:25:26 UTC 2020,18,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/light-t0441-f0389.jpg,zero,,aubreymoore
142,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,6,2,Mon Jul 20 23:25:26 UTC 2020,Mon Jul 20 23:25:53 UTC 2020,26,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/medium-t0295-f0258.jpg,light,multiple trees,aubreymoore
143,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,7,2,Mon Jul 20 23:25:53 UTC 2020,Mon Jul 20 23:26:05 UTC 2020,12,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/light-t0185-f0153.jpg,zero,,aubreymoore
144,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,8,2,Mon Jul 20 23:26:05 UTC 2020,Mon Jul 20 23:26:11 UTC 2020,5,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/light-t0651-f0486.jpg,zero,,aubreymoore
145,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,9,2,Mon Jul 20 23:26:11 UTC 2020,Mon Jul 20 23:26:22 UTC 2020,10,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/high-t0310-f0265.jpg,medium,multiple trees,aubreymoore
146,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,10,2,Mon Jul 20 23:26:22 UTC 2020,Mon Jul 20 23:26:36 UTC 2020,14,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/zero-t0369-f0364.jpg,light,,aubreymoore
147,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,11,2,Mon Jul 20 23:26:36 UTC 2020,Mon Jul 20 23:26:49 UTC 2020,12,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/zero-t0243-f0180.jpg,light,multiple trees,aubreymoore
148,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,12,2,Mon Jul 20 23:26:49 UTC 2020,Mon Jul 20 23:27:03 UTC 2020,14,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/medium-t0301-f0260.jpg,medium,multiple trees,aubreymoore
149,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,13,2,Mon Jul 20 23:27:03 UTC 2020,Mon Jul 20 23:27:14 UTC 2020,10,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/zero-t0512-f0401.jpg,zero,,aubreymoore
150,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,14,2,Mon Jul 20 23:27:14 UTC 2020,Mon Jul 20 23:27:28 UTC 2020,14,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/light-t0250-f0182.jpg,zero,multiple trees,aubreymoore
151,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,15,2,Mon Jul 20 23:27:29 UTC 2020,Mon Jul 20 23:27:37 UTC 2020,8,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/zero-t0398-f0382.jpg,zero,,aubreymoore
152,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,16,2,Mon Jul 20 23:27:37 UTC 2020,Mon Jul 20 23:27:42 UTC 2020,5,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/zero-t0443-f0390.jpg,zero,,aubreymoore
153,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,17,2,Mon Jul 20 23:27:42 UTC 2020,Mon Jul 20 23:28:05 UTC 2020,22,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/medium-t0304-f0261.jpg,high,multiple trees,aubreymoore
154,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,18,2,Mon Jul 20 23:28:05 UTC 2020,Mon Jul 20 23:28:25 UTC 2020,20,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/medium-t0302-f0260.jpg,high,multiple trees,aubreymoore
155,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,19,2,Mon Jul 20 23:28:25 UTC 2020,Mon Jul 20 23:28:34 UTC 2020,8,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/zero-t0470-f0395.jpg,zero,,aubreymoore
156,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,20,2,Mon Jul 20 23:28:34 UTC 2020,Mon Jul 20 23:29:01 UTC 2020,26,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/light-t0325-f0277.jpg,zero,partial tree,aubreymoore
157,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,21,2,Mon Jul 20 23:29:01 UTC 2020,Mon Jul 20 23:29:11 UTC 2020,10,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/light-t0221-f0163.jpg,zero,multiple trees,aubreymoore
158,2,roadside,Mon Jul 20 23:21:39 UTC 2020,1,86400,22,2,Mon Jul 20 23:29:11 UTC 2020,Mon Jul 20 23:29:22 UTC 2020,11,https://raw.githubusercontent.com/aubreymoore/roadside/master/jupyter-notebooks/get-random-bounding-boxes/reports/job27/light-t0351-f0302.jpg,medium,multiple trees,aubreymoore
