Device,Video App,Camera options,Location App,Video File,Notes,GB,FPS,Resolution,Lens,Camera mount,Vehicle,Camera mount position,Camera orientation,Horizontal angle,Vertical angle
Samsung Gallaxy S10,Camera,Standard lens; video stabilization,GPSLogger,20200625_115358.mp4,,,30,2280x1080,standard,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,landscape,-45,about +10
Samsung Gallaxy S10,Camera,Standard lens; video stabilization,GPSLogger,20200625_125121.mp4,,,30,2280x1080,standard,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,portrait,-45,about +10
Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,20200627_120547.mp4,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above center of windshield,landscape,0,-10
Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,20200627_121356.mp4,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above center of windshield,landscape,45,-10
Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,20200627_132415.mp4,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,landscape,45,-10
Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,20200627_132658.mp4,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,landscape,45,-10
Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,20200627_132956.mp4,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,landscape,45,-10
Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,20200627_133255.mp4,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,landscape,45,-10
Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,20200627_133816.mp4,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,landscape,45,11
Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,20200627_134058.mp4,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,landscape,45,11
Samsung Gallaxy S10,Open Camera,Ultrawide lens; video stabilization,Open Camera,20200627_134357.mp4,,,30,3840x2160,ultrawide,magnetic ball and socket,Miata,external; above top right-hand corner of windshield,landscape,45,11
